============================================
MODEL SUMMARY — WideResNet-28-4 + SE Attention
============================================
Dataset:          CIFAR-100
Total params:     5,917,092
Trainable params: 5,917,092
Epochs:           200
Batch size:       128
Optimizer:        SGD (lr=0.1, momentum=0.9, wd=0.0005, nesterov=True)
Scheduler:        CosineAnnealingLR
Augmentation:     RandomCrop + HFlip + AutoAugment + Cutout(8)
Label smoothing:  0.1
Dropout:          0.3
Best val acc:     79.67%
============================================

--- Epoch-by-epoch log ---
Epoch 177 | train_loss=1.28848 train_acc=84.86% | val_loss=1.49248 val_acc=77.53%
Epoch 178 | train_loss=1.28249 train_acc=84.94% | val_loss=1.48890 val_acc=78.19%
Epoch 179 | train_loss=1.26434 train_acc=85.90% | val_loss=1.48628 val_acc=78.41%
Epoch 180 | train_loss=1.25227 train_acc=86.10% | val_loss=1.47740 val_acc=78.26%
Epoch 181 | train_loss=1.23990 train_acc=86.50% | val_loss=1.48374 val_acc=78.36%
Epoch 182 | train_loss=1.22904 train_acc=86.82% | val_loss=1.47234 val_acc=78.45%
Epoch 183 | train_loss=1.22293 train_acc=87.02% | val_loss=1.47594 val_acc=78.18%
Epoch 184 | train_loss=1.22193 train_acc=87.24% | val_loss=1.47228 val_acc=78.75%
Epoch 185 | train_loss=1.20480 train_acc=87.73% | val_loss=1.46623 val_acc=78.96%
Epoch 186 | train_loss=1.19810 train_acc=88.00% | val_loss=1.47872 val_acc=78.34%
Epoch 187 | train_loss=1.20028 train_acc=87.83% | val_loss=1.46681 val_acc=79.22%
Epoch 188 | train_loss=1.19055 train_acc=88.21% | val_loss=1.46651 val_acc=79.05%
Epoch 189 | train_loss=1.18256 train_acc=88.66% | val_loss=1.46272 val_acc=79.33%
Epoch 190 | train_loss=1.17297 train_acc=88.73% | val_loss=1.45658 val_acc=79.07%
Epoch 191 | train_loss=1.16893 train_acc=89.13% | val_loss=1.44840 val_acc=79.54%
Epoch 192 | train_loss=1.16289 train_acc=89.27% | val_loss=1.45801 val_acc=79.49%
Epoch 193 | train_loss=1.16163 train_acc=89.24% | val_loss=1.45207 val_acc=79.55%
Epoch 194 | train_loss=1.15710 train_acc=89.48% | val_loss=1.44604 val_acc=79.67%
Epoch 195 | train_loss=1.15281 train_acc=89.64% | val_loss=1.45031 val_acc=79.42%
Epoch 196 | train_loss=1.15331 train_acc=89.75% | val_loss=1.44704 val_acc=79.57%
Epoch 197 | train_loss=1.15862 train_acc=89.36% | val_loss=1.45197 val_acc=79.47%
Epoch 198 | train_loss=1.14902 train_acc=89.89% | val_loss=1.44849 val_acc=79.46%
Epoch 199 | train_loss=1.15111 train_acc=89.72% | val_loss=1.44623 val_acc=79.65%
Epoch 200 | train_loss=1.14478 train_acc=89.72% | val_loss=1.44367 val_acc=79.58%
