============================================
MODEL SUMMARY — WideResNet-28-4 + SE Attention
============================================
Dataset:          CIFAR-10
Total params:     5,893,962
Epochs:           200
Batch size:       128
Optimizer:        SGD (lr=0.1, momentum=0.9, wd=0.0005, nesterov)
Scheduler:        CosineAnnealingLR
Augmentation:     RandomCrop + HFlip + AutoAugment + Cutout(16)
Label smoothing:  0.1
Dropout:          0.3
Best val acc:     96.36%
============================================

--- Epoch log ---
Epoch 133 | train_loss=0.89514 acc=82.55% | val_loss=0.74323 val_acc=89.56%
Epoch 134 | train_loss=0.89996 acc=82.32% | val_loss=0.72958 val_acc=90.23%
Epoch 135 | train_loss=0.88948 acc=82.67% | val_loss=0.72607 val_acc=90.69%
Epoch 136 | train_loss=0.88973 acc=82.78% | val_loss=0.71588 val_acc=90.91%
Epoch 137 | train_loss=0.88421 acc=83.16% | val_loss=0.71220 val_acc=91.11%
Epoch 138 | train_loss=0.87653 acc=83.39% | val_loss=0.70216 val_acc=91.14%
Epoch 139 | train_loss=0.87423 acc=83.59% | val_loss=0.68746 val_acc=92.41%
Epoch 140 | train_loss=0.87691 acc=83.39% | val_loss=0.71668 val_acc=91.09%
Epoch 141 | train_loss=0.87166 acc=83.56% | val_loss=0.71241 val_acc=91.49%
Epoch 142 | train_loss=0.87017 acc=83.74% | val_loss=0.70810 val_acc=91.60%
Epoch 143 | train_loss=0.86338 acc=84.10% | val_loss=0.73491 val_acc=90.48%
Epoch 144 | train_loss=0.85658 acc=84.22% | val_loss=0.71315 val_acc=91.43%
Epoch 145 | train_loss=0.85876 acc=84.22% | val_loss=0.68815 val_acc=92.27%
Epoch 146 | train_loss=0.84846 acc=84.52% | val_loss=0.68243 val_acc=92.67%
Epoch 147 | train_loss=0.85077 acc=84.83% | val_loss=0.68788 val_acc=92.34%
Epoch 148 | train_loss=0.84773 acc=84.53% | val_loss=0.67679 val_acc=92.92%
Epoch 149 | train_loss=0.84228 acc=85.00% | val_loss=0.69384 val_acc=91.89%
Epoch 150 | train_loss=0.83572 acc=85.23% | val_loss=0.69021 val_acc=92.24%
Epoch 151 | train_loss=0.82861 acc=85.76% | val_loss=0.66883 val_acc=93.39%
Epoch 152 | train_loss=0.82794 acc=85.47% | val_loss=0.68407 val_acc=92.33%
Epoch 153 | train_loss=0.83014 acc=85.41% | val_loss=0.66035 val_acc=93.43%
Epoch 154 | train_loss=0.81743 acc=85.93% | val_loss=0.69218 val_acc=92.27%
Epoch 155 | train_loss=0.82178 acc=85.89% | val_loss=0.65708 val_acc=93.32%
Epoch 156 | train_loss=0.81375 acc=86.29% | val_loss=0.65892 val_acc=93.32%
Epoch 157 | train_loss=0.81052 acc=86.33% | val_loss=0.69376 val_acc=92.01%
Epoch 158 | train_loss=0.80609 acc=86.58% | val_loss=0.65744 val_acc=93.45%
Epoch 159 | train_loss=0.80042 acc=86.79% | val_loss=0.65778 val_acc=93.42%
Epoch 160 | train_loss=0.79622 acc=87.03% | val_loss=0.64736 val_acc=93.94%
Epoch 161 | train_loss=0.79468 acc=87.11% | val_loss=0.64767 val_acc=93.85%
Epoch 162 | train_loss=0.78820 acc=87.36% | val_loss=0.64291 val_acc=94.09%
Epoch 163 | train_loss=0.78015 acc=87.77% | val_loss=0.64354 val_acc=94.23%
Epoch 164 | train_loss=0.78063 acc=87.62% | val_loss=0.65760 val_acc=93.52%
Epoch 165 | train_loss=0.77759 acc=87.75% | val_loss=0.63554 val_acc=94.20%
Epoch 166 | train_loss=0.77026 acc=88.13% | val_loss=0.63685 val_acc=94.37%
Epoch 167 | train_loss=0.76464 acc=88.32% | val_loss=0.67452 val_acc=92.59%
Epoch 168 | train_loss=0.76483 acc=88.27% | val_loss=0.63496 val_acc=94.52%
Epoch 169 | train_loss=0.75952 acc=88.50% | val_loss=0.63660 val_acc=94.29%
Epoch 170 | train_loss=0.75163 acc=89.00% | val_loss=0.63367 val_acc=94.71%
Epoch 171 | train_loss=0.75446 acc=88.86% | val_loss=0.62846 val_acc=94.61%
Epoch 172 | train_loss=0.74704 acc=89.21% | val_loss=0.62497 val_acc=94.87%
Epoch 173 | train_loss=0.74380 acc=89.41% | val_loss=0.62297 val_acc=95.12%
Epoch 174 | train_loss=0.73911 acc=89.63% | val_loss=0.62212 val_acc=95.14%
Epoch 175 | train_loss=0.73379 acc=89.86% | val_loss=0.62973 val_acc=94.71%
Epoch 176 | train_loss=0.72925 acc=90.04% | val_loss=0.62216 val_acc=95.19%
Epoch 177 | train_loss=0.72768 acc=90.07% | val_loss=0.62018 val_acc=95.13%
Epoch 178 | train_loss=0.72058 acc=90.39% | val_loss=0.61330 val_acc=95.50%
Epoch 179 | train_loss=0.71709 acc=90.64% | val_loss=0.61343 val_acc=95.41%
Epoch 180 | train_loss=0.71436 acc=90.69% | val_loss=0.60783 val_acc=95.84%
Epoch 181 | train_loss=0.70807 acc=90.95% | val_loss=0.61311 val_acc=95.39%
Epoch 182 | train_loss=0.70400 acc=91.24% | val_loss=0.61042 val_acc=95.58%
Epoch 183 | train_loss=0.70332 acc=91.23% | val_loss=0.60507 val_acc=95.84%
